Precinct,KEITH JUDD                            ,MICHAEL STEINBERG                     ,BERNIE SANDERS                        ,WILLIE WILSON                         ,ROQUE DE LA FUENTE                    ,HILLARY CLINTON                       ,HENRY HEWES                           ,WRITE-IN                              ,OVER VOTES                            ,UNDER VOTES                           ,TOTALS
8017512,0,0,107,0,0,122,0,0,0,5,234
8017630,1,0,164,0,0,196,0,0,0,2,363
8018012,1,0,73,1,1,73,0,0,0,3,152
8018119,0,1,113,0,0,98,0,0,0,4,216
8018143,0,1,92,0,1,160,0,0,0,4,258
8018213,1,1,128,1,1,223,0,1,0,3,359
8018220,0,2,137,0,0,167,1,1,0,4,312
8018385,0,1,124,1,0,128,0,0,0,3,257
8018501,0,1,92,0,0,92,0,0,1,4,190
8018562,0,0,101,0,0,125,1,0,0,2,229
8018588,0,0,102,3,0,190,0,0,1,6,302
8018791,1,4,90,1,0,117,1,0,0,3,217
8018840,0,0,136,0,0,171,1,0,0,2,310
8019081,0,0,52,0,0,67,0,0,0,2,121
8019319,0,0,48,0,0,78,1,0,0,3,130
8019325,0,0,72,1,1,105,0,0,2,2,183
8019427,1,0,68,1,0,89,0,0,0,5,164
8019455,0,0,73,0,0,116,1,0,0,4,194
8019532,1,0,80,0,1,114,0,0,1,2,199
8019646,0,3,104,0,0,140,1,1,0,3,252
8019685,0,0,30,1,0,32,0,0,0,3,66
8019800,2,0,86,1,0,111,1,1,0,6,208
8019948,0,0,55,0,0,41,0,0,0,0,96
8021009,3,0,68,1,0,95,0,1,0,5,173
8021013,0,0,108,0,0,122,0,0,0,5,235
8021065,0,1,89,0,0,118,0,1,0,3,212
8021134,0,1,56,1,0,108,0,0,0,4,170
8021159,0,2,100,1,0,131,0,0,0,5,239
8021231,0,3,84,0,0,99,0,0,1,14,201
8021362,1,2,72,0,0,106,0,1,0,0,182
8021489,0,1,74,1,0,116,0,1,0,6,199
8021615,1,0,55,1,0,92,1,0,0,9,159
8021621,1,0,76,2,0,118,1,0,0,5,203
8021688,0,0,34,0,0,47,0,0,0,5,86
8021800,0,0,52,0,0,67,0,0,0,4,123
8021846,1,0,77,0,1,74,0,0,0,2,155
8021895,0,0,83,0,1,106,1,0,0,4,195
8021904,1,1,94,0,2,109,0,0,0,7,214
8021961,0,0,82,0,0,82,1,1,0,6,172
8022003,0,0,81,1,0,95,1,0,0,2,180
8022045,0,1,100,0,1,111,0,1,0,8,222
8022061,0,1,89,1,0,111,0,0,0,5,207
8022139,0,1,78,0,0,107,0,0,0,4,190
8022143,0,1,65,1,0,122,0,0,0,5,194
8022427,0,1,84,1,2,76,4,0,0,8,176
8022453,1,0,109,1,0,127,0,0,0,4,242
8022464,0,2,112,0,0,125,2,1,0,5,247
8022566,0,0,100,0,0,127,0,0,0,3,230
8022709,0,3,84,1,0,127,2,0,0,7,224
8022730,0,0,92,4,0,128,1,0,0,3,228
8022824,1,2,59,0,0,93,1,0,0,4,160
8022847,0,2,55,0,1,68,0,0,0,3,129
8022873,0,0,81,0,0,103,0,1,0,3,188
8022926,0,0,44,0,0,47,2,0,0,5,98
8023002,0,1,75,0,0,96,0,0,0,3,175
8023077,0,2,93,1,0,117,1,0,0,12,226
8023172,1,0,102,1,0,90,0,0,0,5,199
